gameid,date,type,home,away,season
29600001,1996-11-01,regular,BOS,CHI,1997
29600002,1996-11-01,regular,NJN,CLE,1997
29600003,1996-11-01,regular,PHI,MIL,1997
29600004,1996-11-01,regular,ORL,WAS,1997
29600005,1996-11-01,regular,MIA,ATL,1997
29600006,1996-11-01,regular,TOR,NYK,1997
29600007,1996-11-01,regular,DET,IND,1997
29600008,1996-11-01,regular,MIN,SAS,1997
29600009,1996-11-01,regular,HOU,SAC,1997
29600010,1996-11-01,regular,DEN,DAL,1997
29600011,1996-11-01,regular,UTA,SEA,1997
29600012,1996-11-01,regular,LAL,PHX,1997
29600013,1996-11-01,regular,GSW,LAC,1997
29600014,1996-11-01,regular,VAN,POR,1997
29600015,1996-11-02,regular,WAS,CLE,1997
29600016,1996-11-02,regular,CHH,TOR,1997
29600017,1996-11-02,regular,ATL,DET,1997
29600018,1996-11-02,regular,IND,MIA,1997
29600019,1996-11-02,regular,CHI,PHI,1997
29600020,1996-11-02,regular,MIL,BOS,1997
29600021,1996-11-02,regular,DAL,SAC,1997
29600022,1996-11-02,regular,PHX,HOU,1997
29600023,1996-11-02,regular,LAC,UTA,1997
29600024,1996-11-02,regular,SEA,POR,1997
29600025,1996-11-03,regular,NYK,CHH,1997
29600026,1996-11-03,regular,SAS,DEN,1997
29600027,1996-11-03,regular,LAL,MIN,1997
29600028,1996-11-03,regular,VAN,GSW,1997
29600029,1996-11-04,regular,UTA,HOU,1997
29600030,1996-11-04,regular,POR,ATL,1997
29600031,1996-11-05,regular,NYK,LAL,1997
29600032,1996-11-05,regular,PHI,DET,1997
29600033,1996-11-05,regular,TOR,DAL,1997
29600034,1996-11-05,regular,CLE,SAS,1997
29600035,1996-11-05,regular,CHI,VAN,1997
29600036,1996-11-05,regular,DEN,LAC,1997
29600037,1996-11-05,regular,PHX,MIN,1997
29600038,1996-11-05,regular,GSW,POR,1997
29600039,1996-11-05,regular,SAC,HOU,1997
29600040,1996-11-05,regular,SEA,ATL,1997
29600041,1996-11-06,regular,BOS,IND,1997
29600042,1996-11-06,regular,WAS,SAS,1997
29600043,1996-11-06,regular,MIA,CHI,1997
29600044,1996-11-06,regular,CHH,LAL,1997
29600045,1996-11-06,regular,DET,DAL,1997
29600046,1996-11-06,regular,MIL,VAN,1997
29600047,1996-11-07,regular,NJN,ORL,1997
29600048,1996-11-07,regular,DEN,HOU,1997
29600049,1996-11-07,regular,PHX,SEA,1997
29600050,1996-11-07,regular,GSW,NYK,1997
29600051,1996-11-07,regular,SAC,ATL,1997
29600052,1996-11-07,regular,POR,MIN,1997
29600053,1996-11-08,regular,BOS,PHI,1997
29600054,1996-11-08,regular,WAS,CHH,1997
29600055,1996-11-08,regular,ORL,NJN,1997
29600056,1996-11-08,regular,MIA,MIL,1997
29600057,1996-11-08,regular,TOR,LAL,1997
29600058,1996-11-08,regular,CLE,VAN,1997
29600059,1996-11-08,regular,DET,CHI,1997
29600060,1996-11-08,regular,SAS,SEA,1997
29600061,1996-11-08,regular,DEN,GSW,1997
29600062,1996-11-08,regular,LAC,NYK,1997
29600063,1996-11-09,regular,PHI,PHX,1997
29600064,1996-11-09,regular,CHH,MIL,1997
29600065,1996-11-09,regular,IND,WAS,1997
29600066,1996-11-09,regular,CHI,BOS,1997
29600067,1996-11-09,regular,DAL,MIA,1997
29600068,1996-11-09,regular,HOU,UTA,1997
29600069,1996-11-09,regular,SAC,POR,1997
29600070,1996-11-10,regular,CLE,DEN,1997
29600071,1996-11-10,regular,LAC,MIN,1997
29600072,1996-11-10,regular,LAL,ATL,1997
29600073,1996-11-10,regular,POR,SAS,1997
29600074,1996-11-10,regular,VAN,NYK,1997
29600075,1996-11-11,regular,TOR,DEN,1997
29600076,1996-11-11,regular,CHI,PHX,1997
29600078,1996-11-11,regular,SAC,SEA,1997
29600079,1996-11-12,regular,NYK,PHI,1997
29600080,1996-11-12,regular,WAS,DET,1997
29600081,1996-11-12,regular,MIA,CHH,1997
29600082,1996-11-12,regular,ATL,CLE,1997
29600083,1996-11-12,regular,MIL,PHX,1997
29600084,1996-11-12,regular,MIN,POR,1997
